stop_id,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url
01_1_S1,Bến Phố Ngô Gia Khảm (Bến xe Gia Lâm),,21.048408,105.878335,,
01_1_S2,Bến Đường Nguyễn Văn Cừ,,21.049949,105.883307,,
01_1_S3,Bến Ngõ 307 Đường Nguyễn Văn Cừ,,21.045799,105.875123,,
01_1_S4,Bến Ngõ 133 Đường Nguyễn Văn Cừ,,21.042601,105.870286,,
01_1_S5,Bến Phố Nguyễn Thiếp (Điểm trung chuyển Long Biên),,21.041366,105.849457,,
01_1_S6,Bến Phố Hàng Cót (Chùa Pháp Bảo Tạng),,21.037449,105.846857,,
01_1_S7,Bến Phố Đường Thành (Nhà hát Hồng Hà),,21.031316,105.847041,,
01_1_S8,Bến Phố Tràng Thi (Bệnh viện Phụ sản Trung ương),,21.026850,105.847457,,
01_1_S9,Bến Phố Tràng Thi (Bệnh viện Phụ sản Trung ương),,21.026433,105.846243,,
01_1_S10,Bến Đường Lê Duẩn (Cục Cảnh sát giao thông),,21.025799,105.841261,,
01_1_S11,Bến Đường Lê Duẩn,,21.023535,105.841270,,
01_1_S12,Bến Ngõ 98 Khâm Thiên,,21.019377,105.837823,,
01_1_S13,Bến Phố Khâm Thiên (Chùa Linh Ứng),,21.019613,105.833925,,
01_1_S14,Bến Phố Nguyễn Lương Bằng,,21.016060,105.828116,,
01_1_S15,Bến Phố Tây Sơn,,21.011350,105.825174,,
01_1_S16,Bến Phố Tây Sơn (Trường Trung cấp Nghiệp vụ và Dạy nghề Công đoàn Hà Nội),,21.007383,105.822975,,
01_1_S17,Bến Đường Nguyễn Trãi,,21.000167,105.815075,,
01_1_S18,Bến Đường Nguyễn Trãi,,20.996184,105.809091,,
01_1_S19,Bến Đường Nguyễn Trãi,,20.993834,105.805641,,
01_1_S20,Bến Nguyễn Quý Đức,,20.990717,105.801225,,
01_1_S21,Bến Đường Nguyễn Trãi (Trường Đại học Hà Nội),,20.988413,105.798049,,
01_1_S22,Bến Ngõ 348 Đường Nguyễn Trãi,,20.986134,105.794823,,
01_1_S23,Bến Ngõ 4 Đường Trần Phú,,20.983697,105.791504,,
01_1_S24,Bến Ngõ 4 Phố Ao Sen (Học viện Công nghệ Bưu chính Viễn thông),,20.980652,105.787742,,
01_1_S25,Bến Phố Vũ Trọng Khánh,,20.979526,105.786296,,
01_1_S26,Bến Đường Trần Phú,,20.975734,105.781392,,
01_1_S27,Bến Đường Quang Trung,,20.972782,105.777367,,
01_1_S28,Bến Phố Bế Văn Đàn,,20.969769,105.773702,,
01_1_S29,Bến Phố Thành Công,,20.967801,105.771226,,
01_1_S30,Bến Ngõ 6 Quang Trung,,20.965034,105.767626,,
01_1_S31,Bến Đường Lê Trọng Tấn,,20.962284,105.764126,,
01_1_S32,Bến Phường Dương Nội,,20.960421,105.761730,,
01_1_S33,Bến Đường Quang Trung,,20.958336,105.759022,,
01_1_S34,Bến Đường Quang Trung (Trung tâm Đăng kiểm xe cơ giới 29-30D),,20.954324,105.753744,,
01_1_S35,Bến Đường Quang Trung,,20.952318,105.751059,,
01_1_S36,Bến Đường Quang Trung (Bến xe Yên Nghĩa),,20.950059,105.747245,,
01_2_S1,Bến Đường Quang Trung (Bến xe Yên Nghĩa),,20.950059,105.747245,,
01_2_S2,Bến Phường Yên Nghĩa,,20.951674,105.750390,,
01_2_S3,Bến Đường Quang Trung,,20.958303,105.759466,,
01_2_S4,Bến Đường Quang Trung,,20.960468,105.762293,,
01_2_S5,Bến Đường Quang Trung,,20.962836,105.765302,,
01_2_S6,Bến Ngõ 6 Quang Trung,,20.964884,105.767876,,
01_2_S7,Bến Phố Thành Công,,20.967434,105.771242,,
01_2_S8,Bến Đường Quang Trung,,20.970820,105.775519,,
01_2_S9,Bến Đường Quang Trung,,20.972667,105.777676,,
01_2_S10,Bến Đường Trần Phú,,20.976084,105.782442,,
01_2_S11,Bến Trần Phú,,20.979867,105.787292,,
01_2_S12,Bến Phố Ao Sen (Trường Đại học Kiến trúc Hà Nội),,20.981334,105.789042,,
01_2_S13,Bến Ngõ 4 Đường Trần Phú,,20.983316,105.791602,,
01_2_S14,Bến Đường Nguyễn Trãi,,20.986450,105.795858,,
01_2_S15,Bến Đường Nguyễn Trãi,,20.988767,105.799158,,
01_2_S16,Bến Nguyễn Quý Đức,,20.990467,105.801542,,
01_2_S17,Bến Hầm chui Thanh Xuân,,20.993600,105.806075,,
01_2_S18,Bến Đường Nguyễn Trãi,,20.995634,105.808925,,
01_2_S19,Bến Đường Nguyễn Trãi,,20.998800,105.813641,,
01_2_S20,Bến Đường Nguyễn Trãi,,21.000988,105.816973,,
01_2_S21,Bến Phố Tây Sơn,,21.007867,105.823491,,
01_2_S22,Bến Phố Tây Sơn,,21.010567,105.824891,,
01_2_S23,Bến Phố Nguyễn Lương Bằng,,21.017120,105.828864,,
01_2_S24,Bến Ngõ Tiến Bộ,,21.019537,105.833231,,
01_2_S25,Bến Ngõ Trung Tiền,,21.019183,105.838374,,
01_2_S26,Bến Phố Trần Hưng Đạo (Bệnh viện Tim Hà Nội),,21.023583,105.843891,,
01_2_S27,Bến Phố Quán Sứ (Vegan Ph),,21.024116,105.844641,,
01_2_S28,Bến Phố Hàng Bông (Cà Phê Kufu),,21.029616,105.846354,,
01_2_S29,Bến Ngõ Hàng Hương,,21.035433,105.845641,,
01_2_S30,Bến Phố Phùng Hưng,,21.038649,105.846407,,
01_2_S31,Bến Đường Trần Nhật Duật,,21.037816,105.852590,,
01_2_S32,Bến Đường Nguyễn Văn Cừ (Silver Wings),,21.042812,105.871036,,
01_2_S33,Bến Đường Nguyễn Văn Cừ,,21.045932,105.875823,,
01_2_S34,Bến Đường Ngọc Lâm,,21.049299,105.875807,,
01_2_S35,Bến Phố Ngô Gia Khảm (Bến xe Gia Lâm),,21.048408,105.878335,,
02_1_S1,Bến Đường Trần Khánh Dư,,21.023433,105.860674,,
02_1_S2,Bến Đường Trần Khánh Dư (Vietcombank),,21.022483,105.861024,,
02_1_S3,Bến Phố Trần Hưng Đạo (Bệnh viện Trung ương Quân đội 108),,21.018850,105.860407,,
02_1_S4,Bến Phố Lê Thánh Tông (Trường Đại học Khoa học Tự nhiên),,21.020816,105.858107,,
02_1_S5,Bến Phố Lê Thánh Tông,,21.023333,105.856907,,
02_1_S6,Bến Phố Hai Bà Trưng,,21.024283,105.853500,,
02_1_S7,Bến Phố Quang Trung (Viện Dược liệu),,21.025249,105.850238,,
02_1_S8,Bến Phố Tràng Thi,,21.026698,105.849507,,
02_1_S9,Bến Phố Tràng Thi (Bệnh viện Răng Hàm Mặt Trung ương Hà Nội),,21.027633,105.846491,,
02_1_S10,Bến Đường Điện Biên Phủ,,21.029699,105.842224,,
02_1_S11,Bến Phường Ba Đình,,21.031283,105.839207,,
02_1_S12,Bến Phố Chu Văn An (Bệnh viện Đa khoa Xanh Pôn),,21.031252,105.835916,,
02_1_S13,Bến Phố Cát Linh,,21.027449,105.833691,,
02_1_S14,Bến Phố Tôn Đức Thắng (Vaccination Centre),,21.025033,105.832641,,
02_1_S15,Bến Phố Tôn Đức Thắng,,21.020243,105.830360,,
02_1_S16,Bến Phố Nguyễn Lương Bằng,,21.016060,105.828116,,
02_1_S17,Bến Phố Tây Sơn,,21.011350,105.825174,,
02_1_S18,Bến Phố Tây Sơn (Trường Trung cấp Nghiệp vụ và Dạy nghề Công đoàn Hà Nội),,21.007383,105.822975,,
02_1_S19,Bến Đường Nguyễn Trãi,,21.000167,105.815075,,
02_1_S20,Bến Đường Nguyễn Trãi,,20.996184,105.809091,,
02_1_S21,Bến Đường Nguyễn Trãi,,20.993834,105.805641,,
02_1_S22,Bến Nguyễn Quý Đức,,20.990717,105.801225,,
02_1_S23,Bến Đường Nguyễn Trãi (Trường Đại học Hà Nội),,20.988413,105.798049,,
02_1_S24,Bến Ngõ 348 Đường Nguyễn Trãi,,20.986134,105.794823,,
02_1_S25,Bến Ngõ 4 Đường Trần Phú,,20.983697,105.791504,,
02_1_S26,Bến Ngõ 4 Phố Ao Sen (Học viện Công nghệ Bưu chính Viễn thông),,20.980652,105.787742,,
02_1_S27,Bến Phố Vũ Trọng Khánh,,20.979526,105.786296,,
02_1_S28,Bến Đường Trần Phú,,20.975734,105.781392,,
02_1_S29,Bến Đường Quang Trung,,20.972782,105.777367,,
02_1_S30,Bến Phố Bế Văn Đàn,,20.969769,105.773702,,
02_1_S31,Bến Phố Thành Công,,20.967801,105.771226,,
02_1_S32,Bến Ngõ 6 Quang Trung,,20.965034,105.767626,,
02_1_S33,Bến Đường Lê Trọng Tấn,,20.962284,105.764126,,
02_1_S34,Bến Phường Dương Nội,,20.960421,105.761730,,
02_1_S35,Bến Đường Quang Trung,,20.958336,105.759022,,
02_1_S36,Bến Đường Quang Trung (Trung tâm Đăng kiểm xe cơ giới 29-30D),,20.954324,105.753744,,
02_1_S37,Bến Đường Quang Trung,,20.952318,105.751059,,
02_1_S38,Bến Đường Quang Trung (Bến xe Yên Nghĩa),,20.950230,105.747462,,
02_2_S1,Bến Đường Quang Trung (Bến xe Yên Nghĩa),,20.950230,105.747462,,
02_2_S2,Bến Phường Yên Nghĩa,,20.951674,105.750390,,
02_2_S3,Bến Đường Quang Trung,,20.958303,105.759466,,
02_2_S4,Bến Đường Quang Trung,,20.960468,105.762293,,
02_2_S5,Bến Đường Quang Trung,,20.962836,105.765302,,
02_2_S6,Bến Ngõ 6 Quang Trung,,20.964884,105.767876,,
02_2_S7,Bến Phố Thành Công,,20.967434,105.771242,,
02_2_S8,Bến Đường Quang Trung,,20.970820,105.775519,,
02_2_S9,Bến Đường Quang Trung,,20.972667,105.777676,,
02_2_S10,Bến Đường Trần Phú,,20.976084,105.782442,,
02_2_S11,Bến Trần Phú,,20.979867,105.787292,,
02_2_S12,Bến Phố Ao Sen (Trường Đại học Kiến trúc Hà Nội),,20.981334,105.789042,,
02_2_S13,Bến Ngõ 4 Đường Trần Phú,,20.983316,105.791602,,
02_2_S14,Bến Đường Nguyễn Trãi,,20.986450,105.795858,,
02_2_S15,Bến Đường Nguyễn Trãi,,20.988767,105.799158,,
02_2_S16,Bến Nguyễn Quý Đức,,20.990467,105.801542,,
02_2_S17,Bến Hầm chui Thanh Xuân,,20.993600,105.806075,,
02_2_S18,Bến Đường Nguyễn Trãi,,20.995634,105.808925,,
02_2_S19,Bến Đường Nguyễn Trãi,,20.998800,105.813641,,
02_2_S20,Bến Đường Nguyễn Trãi,,21.000988,105.816973,,
02_2_S21,Bến Phố Tây Sơn,,21.007867,105.823491,,
02_2_S22,Bến Phố Tây Sơn,,21.010567,105.824891,,
02_2_S23,Bến Phố Nguyễn Lương Bằng,,21.017120,105.828864,,
02_2_S24,Bến Phố Tôn Đức Thắng,,21.020210,105.830570,,
02_2_S25,Bến Phố Tôn Đức Thắng,,21.024203,105.832358,,
02_2_S26,Bến Ngõ Hàng Bột,,21.028866,105.834707,,
02_2_S27,Bến Đường Hoàng Diệu,,21.029783,105.838791,,
02_2_S28,Bến Phố Nguyễn Thái Học,,21.028611,105.842824,,
02_2_S29,Bến Phố Tràng Thi (Bệnh viện Phụ sản Trung ương),,21.026250,105.846541,,
02_2_S30,Bến Phố Quang Trung (Viện Dược liệu),,21.025250,105.849974,,
02_2_S31,Bến Phố Hai Bà Trưng,,21.024066,105.853907,,
02_2_S32,Bến Ngõ Tràng Tiền (Benaras Mantra),,21.023900,105.856657,,
02_2_S33,Bến Đường Trần Khánh Dư,,21.023433,105.860674,,
03A_1_S1,Bến Đường Giải Phóng,,20.980366,105.841629,,
03A_1_S2,Bến Đường Giải Phóng,,20.984922,105.841010,,
03A_1_S3,Bến Đường Giáp Bát,,20.989627,105.841102,,
03A_1_S4,Bến Đường Giải Phóng,,20.993634,105.841124,,
03A_1_S5,Bến Đường Giải Phóng,,21.001217,105.841291,,
03A_1_S6,Bến Đường Giải Phóng,,21.005167,105.841360,,
03A_1_S7,Bến Đường Lê Duẩn,,21.009635,105.841207,,
03A_1_S8,Bến Đường Lê Duẩn,,21.014366,105.841291,,
